filename,stubble_density
aug_0_img1.jpg,48.54
aug_1_img1.jpg,48.54
aug_2_img1.jpg,48.54
aug_3_img1.jpg,48.54
aug_4_img1.jpg,48.54
aug_5_img1.jpg,48.54
aug_6_img1.jpg,48.54
aug_7_img1.jpg,48.54
aug_8_img1.jpg,48.54
aug_9_img1.jpg,48.54
aug_10_img1.jpg,48.54
aug_11_img1.jpg,48.54
aug_12_img1.jpg,48.54
aug_13_img1.jpg,48.54
aug_0_img10.jpg,86.82
aug_1_img10.jpg,86.82
aug_2_img10.jpg,86.82
aug_3_img10.jpg,86.82
aug_4_img10.jpg,86.82
aug_5_img10.jpg,86.82
aug_6_img10.jpg,86.82
aug_7_img10.jpg,86.82
aug_8_img10.jpg,86.82
aug_9_img10.jpg,86.82
aug_10_img10.jpg,86.82
aug_11_img10.jpg,86.82
aug_12_img10.jpg,86.82
aug_13_img10.jpg,86.82
aug_0_img100.jpg,69.07
aug_1_img100.jpg,69.07
aug_2_img100.jpg,69.07
aug_3_img100.jpg,69.07
aug_4_img100.jpg,69.07
aug_5_img100.jpg,69.07
aug_6_img100.jpg,69.07
aug_7_img100.jpg,69.07
aug_8_img100.jpg,69.07
aug_9_img100.jpg,69.07
aug_10_img100.jpg,69.07
aug_11_img100.jpg,69.07
aug_12_img100.jpg,69.07
aug_13_img100.jpg,69.07
aug_0_img11.jpg,53.03
aug_1_img11.jpg,53.03
aug_2_img11.jpg,53.03
aug_3_img11.jpg,53.03
aug_4_img11.jpg,53.03
aug_5_img11.jpg,53.03
aug_6_img11.jpg,53.03
aug_7_img11.jpg,53.03
aug_8_img11.jpg,53.03
aug_9_img11.jpg,53.03
aug_10_img11.jpg,53.03
aug_11_img11.jpg,53.03
aug_12_img11.jpg,53.03
aug_13_img11.jpg,53.03
aug_0_img12.jpeg,71.88
aug_1_img12.jpeg,71.88
aug_2_img12.jpeg,71.88
aug_3_img12.jpeg,71.88
aug_4_img12.jpeg,71.88
aug_5_img12.jpeg,71.88
aug_6_img12.jpeg,71.88
aug_7_img12.jpeg,71.88
aug_8_img12.jpeg,71.88
aug_9_img12.jpeg,71.88
aug_10_img12.jpeg,71.88
aug_11_img12.jpeg,71.88
aug_12_img12.jpeg,71.88
aug_13_img12.jpeg,71.88
aug_0_img13.jpg,61.01
aug_1_img13.jpg,61.01
aug_2_img13.jpg,61.01
aug_3_img13.jpg,61.01
aug_4_img13.jpg,61.01
aug_5_img13.jpg,61.01
aug_6_img13.jpg,61.01
aug_7_img13.jpg,61.01
aug_8_img13.jpg,61.01
aug_9_img13.jpg,61.01
aug_10_img13.jpg,61.01
aug_11_img13.jpg,61.01
aug_12_img13.jpg,61.01
aug_13_img13.jpg,61.01
aug_0_img14.jpg,13.85
aug_1_img14.jpg,13.85
aug_2_img14.jpg,13.85
aug_3_img14.jpg,13.85
aug_4_img14.jpg,13.85
aug_5_img14.jpg,13.85
aug_6_img14.jpg,13.85
aug_7_img14.jpg,13.85
aug_8_img14.jpg,13.85
aug_9_img14.jpg,13.85
aug_10_img14.jpg,13.85
aug_11_img14.jpg,13.85
aug_12_img14.jpg,13.85
aug_13_img14.jpg,13.85
