filename,stubble_density
img1.jpg,48.54
img10.jpg,86.82
img100.jpg,69.07
img11.jpg,53.03
img12.jpeg,71.88
img13.jpg,61.01
img14.jpg,13.85
img15.jpg,73.11
img16.jpg,54.39
img17.jpg,48.69
img18.jpg,61.83
img19.jpg,56.21
img2.jpg,51.48
img20.jpeg,57.27
img21.jpeg,90.44
img22.jpeg,63.9
img23.jpg,96.27
img24.jpg,53.57
img25.jpg,57.48
img26.jpg,95.06
img27.jpg,51.14
img28.jpg,97.24
img29.jpg,71.03
img3.jpg,84.19
img30.jpg,94.8
img31.jpg,58.32
img32.jpeg,86.19
img33.jpg,66.61
img34.jpg,91.63
img35.jpeg,82.09
img36.jpg,51.83
img37.jpg,74.67
img38.jpg,51.68
img39.jpg,74.53
img4.jpg,91.47
img40.jpg,93.14
img41.jpg,90.59
img42.jpg,53.87
img43.jpg,93.69
img44.jpeg,61.94
img45.jpeg,55.04
img46.jpg,39.89
img47.jpg,87.09
img48.jpg,63.27
img49.jpg,92.62
img5.jpg,60.34
img50.jpg,96.6
img51.png,45.29
img52.jpeg,88.15
img53.jpg,95.32
img54.jpg,53.9
img55.jpg,77.94
img56.jpeg,83.52
img57.jpg,93.68
img58.jpg,58.39
img59.jpg,83.96
img6.jpg,52.72
img60.jpg,46.79
img61.jpeg,90.01
img62.jpg,30.9
img63.jpg,61.06
img64.jpeg,79.06
img65.jpg,47.19
img66.jpg,43.42
img67.jpg,74.06
img68.jpg,87.33
img69.jpg,60.88
img7.jpg,67.96
img70.jpg,45.02
img71.jpg,25.81
img72.jpg,37.4
img73.jpg,52.06
img74.jpg,96.01
img75.jpg,40.66
img76.jpg,46.68
img77.jpg,33.05
img78.jpg,53.74
img79.jpg,74.62
img8.jpg,69.09
img80.jpg,65.97
img81.jpg,38.48
img82.jpg,68.86
img83.jpg,59.75
img84.jpg,51.07
img85.jpg,51.26
img86.jpg,52.63
img87.jpg,41.18
img88.jpg,59.31
img89.jpg,25.63
img9.jpg,84.25
img90.jpg,83.14
img91.jpg,59.97
img92.jpg,37.84
img93.jpg,87.69
img94.jpg,69.04
img95.jpg,38.02
img96.jpg,50.65
img97.jpg,82.68
img98.jpg,80.03
img99.jpg,33.87
